"stdr_de","ph_value","cod_value","ss_value","tn_value","tp_value"
"9/2/2019 12:00","7.2","4.5","2.4","2.357","0.075"
"9/3/2019 12:00","7.1","5.4","2.8","2.108","0.046"
"9/4/2019 12:00","7.1","5.2","2.9","1.856","0.073"
"9/5/2019 12:00","7","5.2","3.2","2.402","0.161"
"9/6/2019 12:00","6.9","4.4","3","2.653","0.208"
"9/7/2019 12:00","7","4.6","3","1.952","0.152"
"9/8/2019 12:00","7","4.5","3","1.973","0.164"
"9/9/2019 12:00","7","4.8","2.9","2.314","0.22"
"9/10/2019 12:00","7","4.4","3","1.977","0.162"
"9/11/2019 12:00","7","4.3","2.9","1.692","0.202"
"9/12/2019 12:00","7","4.2","3","1.855","0.208"
"9/13/2019 12:00","7","4.6","2.9","1.844","0.163"
"9/14/2019 12:00","7","4.2","2.9","3.312","0.111"
"9/15/2019 12:00","7","4.4","2.9","3.213","0.08"
"9/16/2019 12:00","7.1","4.2","2.9","3.078","0.09"
"9/17/2019 12:00","7.1","4.3","2.8","1.196","0.195"
"9/18/2019 12:00","7.1","4.3","2.8","1.571","0.177"
"9/19/2019 12:00","7.1","5","2.8","1.254","0.209"
"9/20/2019 12:00","7.1","4.5","2.7","1.791","0.189"
"9/21/2019 12:00","7","4.2","2.9","1.57","0.206"
"9/22/2019 12:00","7","4.2","2.9","1.948","0.144"
"9/23/2019 12:00","7","4.5","2.7","1.813","0.11"
"9/24/2019 12:00","7","4.3","2.2","1.355","0.185"
"9/25/2019 12:00","7","3.7","2.3","0.841","0.293"
"9/26/2019 12:00","7.1","4.3","3.1","1.462","0.156"
"9/27/2019 12:00","7.1","4.5","2.1","0.809","0.176"
"9/28/2019 12:00","7.1","4.6","2","1.126","0.121"
"9/29/2019 12:00","7.1","4.6","2","2.023","0.15"
"9/30/2019 12:00","7.1","4.8","2.7","2.162","0.084"
"10/1/2019 12:00","7.1","4.3","2","3.048","0.068"
"10/2/2019 12:00","7.1","4.6","2.1","2.309","0.093"
"10/3/2019 12:00","7.1","4.4","2","2.68","0.155"
"10/4/2019 12:00","7.1","4.4","2","3.372","0.155"
"10/5/2019 12:00","7.1","4.4","2.1","3.134","0.15"
"10/6/2019 12:00","7.1","4.5","2.1","3.803","0.158"
"10/7/2019 12:00","7.1","4.4","2","3.989","0.195"
"10/8/2019 12:00","7.1","4.4","2","4.136","0.184"
"10/9/2019 12:00","7.1","3.9","2","3.899","0.195"
"10/10/2019 12:00","7.1","4.1","2","3.714","0.188"
"10/11/2019 12:00","7.1","4.2","2","3.017","0.164"
"10/12/2019 12:00","7.2","4.4","2","3.178","0.154"
"10/13/2019 12:00","7.1","4.4","2","3.392","0.167"
"10/14/2019 12:00","7.1","4.2","1.9","2.865","0.121"
"10/15/2019 12:00","7.1","4.3","1.7","1.743","0.186"
"10/16/2019 12:00","7.1","4.4","1.8","2.034","0.172"
"10/17/2019 12:00","7.1","4.6","1.8","1.596","0.152"
"10/18/2019 12:00","7.1","4.6","1.8","1.772","0.159"
"10/19/2019 12:00","7.1","4.7","2.1","1.9","0.188"
"10/20/2019 12:00","7.1","4.7","1.7","3.035","0.078"
"10/21/2019 12:00","7.1","4.7","1.7","3.111","0.07"
"10/22/2019 12:00","7.1","5.4","2.3","2.061","0.114"
"10/23/2019 12:00","7.1","4.9","1.8","1.951","0.132"
"10/24/2019 12:00","7.1","4.8","1.7","2.181","0.098"
"10/25/2019 12:00","7.1","5.1","1.7","2.232","0.128"
"10/26/2019 12:00","7.1","4.9","2.2","2.221","0.155"
"10/27/2019 12:00","7.1","5","1.9","3.123","0.115"
"10/28/2019 12:00","7.1","5.1","1.8","3.752","0.087"
"10/29/2019 12:00","7.1","5.3","1.8","2.679","0.075"
"10/30/2019 12:00","7.1","5.5","1.7","2.127","0.069"
"10/31/2019 12:00","7.1","5.2","1.7","1.971","0.122"
"11/1/2019 12:00","7.1","5.1","1.7","2.428","0.12"
"11/2/2019 12:00","7.1","4.8","1.8","2.31","0.136"
"11/3/2019 12:00","7.1","4.9","1.8","2.973","0.142"
"11/4/2019 12:00","7.1","4.9","1.8","3.029","0.105"
"11/5/2019 12:00","7.1","5","1.8","2.27","0.066"
"11/6/2019 12:00","7.1","5","1.7","2.036","0.075"
"11/7/2019 12:00","7.1","5.3","1.7","1.78","0.099"
"11/8/2019 12:00","7.1","5.3","1.7","1.786","0.142"
